ID,Tweet ID,User ID,Username,text,Created At,numbers,clean_text,label,label_score,predicted,confidence
1,1896611050881204614,1741330816255553536,DennDarull,Apapun kondisinya jangan sampai orang rumah tahu #motivasi #story https://t.co/qxqYHieUuL,2025-03-03 20:28:46,[],apapun kondisinya orang rumah,positif,3,positif,2.2222144240805917
2,1896547072595378447,1710039859614932992,mg2bet_mg2,Kalo cuma ganteng doang - Maia Estianty #motivasi #motivasisukses #motivasihidup #motivasell #maiaestianty #viral #fypdongggggggg #id #dennysumargo #densu #manggadua #mangga2 #kutipan #katakata #foryoupage #fyppppppppppppppppppppppp https://t.co/PL9LTtw5vW,2025-03-03 20:28:46,"['2', '9', '5']",kalo ganteng doang maia estianty,negatif,-5,negatif,2.222226066328012
3,1896545343606858090,1710039859614932992,mg2bet_mg2,Setiap pernikahan ada rejekinya #motivasi #motivasihidup #motivasisukses #motivasell #dennysumargo #kemalpahlevi #densu #dennysumargo #manggadua #mangga2 #kutipan #katakata https://t.co/sCDFqc4NhP,2025-03-03 20:28:46,"['2', '4']",pernikahan rejekinya,netral,0,netral,2.222220253197535
4,1896515910627963044,127796691,warungsatekamu,Tuhan Yesus berilah kesempatan kepadaku untuk menunjukkan kasih kepada orang-orang yang Engkau hadirkan sebagai sesamaku. Kontribusi oleh Vika Rahelia. #WarungSaTeKaMu #dailyquote #christianart #handlettering #rohanikristen #saatteduh #santapanrohani #renungankristen #motivasi https://t.co/9RnuaLUXhb,2025-03-03 20:28:46,['9'],tuhan yesus berilah kesempatan kepadaku kasih orangorang engkau hadirkan sesamaku kontribusi vika rahelia,negatif,-2,negatif,2.2222069387842507
5,1896510158634910185,1587643235614486528,BPS_Situbondo,menyalahkan keadaan sibuk mencari penyelesaian. Hidup tidak menjadi lebih baik karena kebetulan melainkan karena adanya perubahan. #zonaintegritas #afirmasi #inspirasi #motivasi #asap #BPSSitubondo,2025-03-03 20:28:46,[],menyalahkan sibuk mencari penyelesaian hidup perubahan,negatif,-4,negatif,2.222214854681364
6,1896504254556479666,2991081272,mr_z4m,Konsistensi itu kunci kejayaan! Dalam bulan Ramadhan ini tunjukkan komitmen kita setiap hari. Setiap langkah kecil mendekatkan kita kepada kebaikan Dan Kejayaan dalam perniagaan. Jom buktikan! #Ramadhan #Motivasi #peszamzum #zamzumglobal #sambalpenyetnanaszamzum https://t.co/SLsojZ1a7z,2025-03-03 20:28:46,"['1', '7']",konsistensi kunci kejayaan ramadhan tunjukkan komitmen langkah mendekatkan kebaikan kejayaan perniagaan jom buktikan,positif,16,positif,2.222211247969818
7,1896490310458609894,943421476480225280,DadungAwuk82,BELAS KASIHMU ADALAH RACUN YANG PERLAHAN MEMBUNUHMU #katabijak #afirmasi #motivasi #cinta #kasihsayang #hidup #hidupbebasdrama #videoviral #quotes #katakata #fy https://t.co/ija74P3NMg,2025-03-03 20:28:46,"['74', '3']",belas kasihmu racun perlahan membunuhmu,negatif,-3,negatif,2.222210116003706
8,1896484660810756252,1879756228387368960,pengusahasp,Tugas Manusia Hanya Sebatas berjuang #indonesiabertani #pengusahasetengahpelawak #pupukmahkota #petani #tani #dolomit #motivasi #sawit #sawitriau https://t.co/07KYoh1wIM,2025-03-03 20:28:46,"['07', '1']",tugas manusia sebatas berjuang,positif,2,positif,2.2222310815433555
9,1896450815570973150,1762667610439876608,bpstasik,Sampurasun Sobat Data. Sudah senin kembali ya bedanya senin kali ini kita sudah di bulan Ramadan ya.. Semangat ya puasanya untuk semua Sobat Data.. Semoga lancar dan sehat selalu.. #cintadata #bpsjabar #tasikmalaya #motivasi #quotes https://t.co/1Td8SiZDDW,2025-03-03 20:28:46,"['1', '8']",sampurasun sobat data senin ya bedanya senin kali ramadan ya semangat ya puasanya sobat data semoga lancar sehat,negatif,-6,negatif,2.222220713079023
10,1896428175003132183,2318372370,infaqproduktif,di bawa santai aja kalo gak kuat ambil air wudhu sholat berdoa backingan kita bisa segalanya #qoute #motivasi #konten #semangat https://t.co/9yzSQbzSBH,2025-03-03 20:28:46,['9'],bawa santai aja kalo gak kuat ambil air wudhu sholat berdoa backingan,negatif,-7,negatif,2.2222166735798385
